,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2020,2030,2050,2099
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89333607195584,2.89333607195584,3.0191476604485,3.0191476604485,3.0191476604485,3.14420197571236,3.14420197571236,3.14420197571236,3.14420197571236,3.26842985254773,3.26842985254773,3.26842985254773,3.39179988346011,3.39179988346011,3.51425834412389,3.51425834412389,3.51425834412389,3.63576368345619,3.63576368345619,3.75628350477164,3.75628350477164,3.75628350477164,3.87576726431422,3.87576726431422,3.98900409054719,3.98900409054719,4.11150870189588,4.11150870189588,4.23317635787663,4.24415736010199,4.24964786121467,4.37654092247166,4.39346053943997,4.40474028408552,4.41602002873107,4.54331945470918,4.55489479089952,4.56647012708986,4.69962623752252,4.71149398054657,4.72336172357061,4.85057937419858,4.86881463500384,4.88097147554068,5.00812454781208,5.01434582054228,5.00190327508188,4.97701818416108,5.0517522851467,4.99449060937048,4.91814170833552,4.94131969731388,4.84379365065637,4.73976586755502,4.64223982089751,4.64084456125756,4.54125562217478,4.44830594569752,4.44435025949029,4.34950132102556,4.26142730673688,3.68545213688238,3.13058682197172,2.39575714470157,1.78356133448005
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.24401352233111,2.15783504022059,2.07165655811008,1.98547807599956,1.89929959437687,1.8707947481153,1.83632021120908,1.79592835947488,1.95948664061717,2.12867581017053,2.30337614851613,2.48348346455323,2.66887224845313,2.79376352377087,2.32588502291307,2.66852133934034,2.43945151372653,2.92698531226897,3.06228266488607,3.19971862030728,3.33921706705961,3.48064272359769,3.56053696488415,3.70526600332126,3.85186371512357,4.00004597376773,4.06797128275624,4.25605379742864,4.35574514763868,4.50897952716823,4.64765248158217,4.76292335074766,4.86181183251607,4.94359956203169,4.99916821501707,5.02758257210089,5.03640594222781,5.02503574394083,4.98419921781449,4.88801291711982,4.82463889104651,4.70976653649778,4.59489418194905,4.53409258688766,4.43591341669914,4.34665962561868,4.26633121364626,4.22620052007686,4.14510072331632,4.06400092655578,3.98290112979525,3.93740683932166,3.86466029263673,3.7919137459518,3.72826051760249,3.7055737845062,3.65971272281677,3.61385166112734,3.60568232563554,3.57794630774603,3.53171961126353,3.49303733570364,3.39988967341821,3.2881124786757,3.14839098524755,2.99935472559086,2.82907382472942,2.6903937352819,2.57020432442738,2.49635734924954,2.42183921942119,2.36595062204994,2.32583357272576,2.26018504446334,2.19816130307264,2.11325378492821,2.03022407222729,1.93535378847836,1.84048350472942,1.76363699318641,1.67783843676112,1.61110622620812,1.56344036152741,1.5157744968467,1.4938606588035,1.47470859907525,1.39411702820613,1.42295997287787,1.61616057930926,1.93595632890357
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33766007528909,4.33172620377707,4.42508995540923,4.41901153514081,4.51664400212618,4.51664400212618,4.62547092103482,4.63183332945441,4.73976586755502,4.75276934044269,4.8665794898452,4.87985801505623,4.98634419357447,5.09860268768263,5.09860268768263,5.20292314800001,5.20292314800001,5.29879688675749,5.39316659238827,5.4004645174118,5.49356836740616,5.58496985016626,5.57742259361198,5.65940126576997,5.73162164420694,5.70825905598327,5.7542364057684,5.78927720410742,5.72513008827244,5.72360456537009,5.69337882893983,5.56978883988904,5.49157376541107,5.39092047226952,5.26727684280532,5.12882305706869,4.97545500866043,4.75684977980892,4.59489418194905,4.41806265848305,4.20385355988993,3.98964446129682,3.80267935921628,3.56839105746362,3.33410275571095,3.13719482578746,2.91895518573268,2.73708881902037,2.59159572565051,2.49484175590517,2.4031196325263,2.34808635849898,2.32982550271835,2.30208948482884,2.28359880623584,2.2728029597645,2.25417342730742,2.21691436239325,2.18897006370762,2.16640143265988,2.11950962675815,1.79304836285495,1.608773017173,1.62091272019527,1.92760745539394
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49013677699075,2.49039549250005,2.49065420800935,2.49091292351865,2.49117163902794,2.49143035453724,2.49168907004654,2.49194778555584,2.49220650106514,2.49246521657443,2.49272393208373,2.49298264759303,2.49324136310233,2.49350007861162,2.49375879412092,2.49401750963022,2.49427622513952,2.49453494064882,2.49479365615811,2.49505237166741,2.49531108717671,2.49556980268601,2.4958285181953,2.4960872337046,2.4963459492139,2.4966046647232,2.4968633802325,2.49712209574179,2.49738081125109,2.49763952676039,2.49789824226969,2.49815695777898,2.49841567328828,2.49867438879758,2.49893310430688,2.49919181981617,2.49945053532547,2.49970925083477,2.49996796634407,2.50022668185337,2.50048539736266,2.50074411287196,2.50100282838126,2.50126154389056,2.50152025939985,2.50177897490915,2.50203769041845,2.50229640592775,2.50255512143705,2.50281383694634,2.50307255245564,2.50333126796494,2.50358998347424,2.50384869898353,2.50410741449283,2.50436613000213,2.50462484551143,2.50488356102073,2.50514227653002,2.50540099203932,2.50565970754862,2.50591842305792,2.50617713856721,2.50643585407651,2.50669456958581,2.50695328509511,2.5072120006044,2.5074707161137,2.507729431623,2.5079881471323,2.5082468626416,2.50850557815089,2.50876429366019,2.50902300916949,2.50928172467879,2.50954044018808,2.50979915569738,2.51005787120668,2.51031658671598,2.51057530222528,2.51083401773457,2.51109273324387,2.51135144875317,2.51161016426247,2.51186887977176,2.51212759528106,2.51238631079036,2.51264502629966,2.51290374180896,2.51316245731825,2.51342117282755,2.51367988833685,2.51393860384615,2.51419731935544,2.51445603486474,2.51471475037404,2.51497346588334,2.51523218139263,2.51549089690193,2.51574961241123,2.51600832792053,2.51626704342983,2.51652575893912,2.51678447444842,2.51704318995772,2.51730190546702,2.51756062097631,2.51781933648561,2.51807805199491,2.51833676750421,2.51859548301351,2.5188541985228,2.5191129140321,2.5193716295414,2.5196303450507,2.51988906055999,2.52014777606929,2.52040649157859,2.52066520708789,2.52092392259718,2.52118263810648,2.52144135361578,2.52170006912508,2.52195878463438,2.52221750014367,2.52247621565297,2.52118263810648,2.51988906055999,2.51859548301351,2.51730190546702,2.51600832792053,2.51471475037404,2.51342117282755,2.51212759528106,2.51083401773457,2.50954044018808,2.5082468626416,2.50695328509511,2.50565970754862,2.50436613000213,2.50307255245564,2.50177897490915,2.50048539736266,2.61347156463211,2.61211883607899,2.61076610752587,2.60941337897274,2.72146754307026,2.72005599351472,2.71864444395919,2.71723289440365,2.72115386539125,2.85019867408731,2.86653219084426,2.99676815051779,3.01374700689466,3.03072586327153,3.1671482028673,3.18476794252164,3.3225715253535,3.34082741285544,3.3545193284819,3.48938878191445,3.4988323239494,3.62456966759134,3.62456966759134,3.6196913773254,3.72476334492535,3.71469641696609,3.80744993818158,3.78670089219694,3.7659518462123,3.86054648242951,3.84986723904796,3.94767030001725,3.94767030001725,3.94767030001725,4.05506820007361,4.05506820007361,4.06070807239638,4.06070807239638,4.06070807239638,4.06070807239638,4.17290869661824,4.17290869661824,4.17290869661824,4.17290869661824,4.16712102852307,4.1613333604279,4.15554569233273,4.14975802423756,4.13239501995204,4.1208196837617,4.10345667947619,4.18931328748851,4.17151167295244,4.2548941878935,4.23058050681982,4.31134200202953,4.28023563837852,4.3455249505733,4.38867209958798,4.41510963266993,4.3354384814037,4.3291765484974,4.3041049788974,4.19356616724032,4.07611867985468,4.04124206624087,3.92859420376726,3.90060285033299,3.26680886072901,2.67814208611064,2.07237756951234,1.75410382025026
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.10350087533019,3.06994046895792,3.03638006212925,3.00281965575698,3.00159651129435,3.00037336683172,2.99915022236909,2.99792707790646,2.99670393344383,2.9954807889812,2.99425764451857,2.99303450005594,2.99181135559331,2.99058821113068,2.95267073278914,2.91475325444761,2.87683577610607,2.83891829776454,2.80100081942301,2.77898421909566,2.8522896620685,2.8295118386802,2.8067340152919,2.7839561919036,2.9577173653467,3.02682614782203,3.1947803128399,3.06041588497679,2.90892448557835,2.90630972199581,2.99605869766652,3.0848229136745,3.08204254151256,3.16970622807718,3.22689927594901,3.19452728138864,3.24818294659916,3.21493025938409,3.26505507920973,3.30141622540142,3.33459704557374,3.36461360303841,3.31626187137929,3.3420458946371,3.35706117850731,3.44592031523205,3.39865769242104,3.42228451714618,3.44296435152053,3.46071510325826,3.41049434555581,3.42438670405378,3.43536550516387,3.38324347873334,3.39044755244581,3.33739725108868,3.3409689948818,3.28700410862654,3.2330392216289,3.21603696290925,3.14524369643012,3.07445042995098,3.00365716347185,2.93286389699272,2.86611596002667,2.79936802306063,2.73262008609459,2.7087213451224,2.68186937748911,2.71780173448493,2.75277725538464,2.78677753420602,2.81979623285246,2.81537995057705,2.81555824543933,2.77933722698662,2.77725351226575,2.74058173350454,2.70390995474334,2.69264366354689,2.68137737150548,2.63729074448313,2.67011108030904,2.67011108030904,2.6934938400709,2.6934938400709,2.71576802684582,2.71576802684582,2.70711908408516,2.72819325606688,2.72819325606688,2.71944904691282,2.71070483775876,2.7019606286047,2.69321641945064,2.68447221029658,2.67572800114252,2.69508216441243,2.69508216441243,2.69508216441243,2.70391849937771,2.712754834343,2.76686752349444,2.81149441903467,2.8561213145749,2.93761486043722,2.99168139161091,3.03673683425565,3.08263491577377,3.08263491577377,3.06444827910254,3.02807500576007,2.99931343448893,2.94428016046161,2.89841909877218,2.86173024942063,2.85680984261892,2.83831916402592,2.82907382472942,2.81058314613642,2.79209246754342,2.78511510233437,2.75717080364874,2.71991173873457,2.6826526738204,2.63607884267768,2.59780604695579,2.55091424105406,2.49464407397198,2.43837390688991,2.39627884540966,2.33967383331337,2.2925029898998,2.24533214648622,2.20759547175536,2.19150355460049,2.1725294978507,2.15355544110092,2.13458138435113,2.12509435597623,2.12589756475983,2.10683121888754,1.97266215200975,1.88141655022665,1.79614314796441,1.91630194992993
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.82349767037925,3.8125130361881,3.84100772368206,3.83160187217705,3.83160187217705,3.88337529953431,3.89721360795136,3.95850348404319,3.97686632326672,4.02848511067418,4.02053240920542,3.98695433633733,3.95840563441865,3.8530861609437,3.74951393689548,3.58551212566862,3.44454898553128,3.27905059182307,3.13446683028678,3.03967116877563,2.94244571799404,2.85989580695306,2.80318687469922,2.7199788210307,2.63122356378429,2.53784563688963,2.44631677785426,2.3621841902561,2.29191961160269,2.23829664368298,2.20501342221558,2.19391901505978,2.20131528649698,2.22442863473823,2.23893703167813,2.27562588102968,2.29060688874163,2.31788684374848,2.31224531652819,2.3113442076753,2.28701426864714,2.23655217288502,2.16176013809475,2.06804481739369,1.84502037630221,1.63679730041085,1.63679730041085,1.55927609744073,1.375831850683,1.29434750151019,1.20189410854518,1.11777194742517,1.30406727199603,1.31297056524841,1.31297056524841,1.31297056524841,1.21918695344495,1.63399801584627,1.64060193392418,1.64154535079245,1.64154535079245,1.65877209088884,1.67580522622188,1.77143996623572,1.95696188364867
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.65066589803644,4.69107930996952,4.69641958393011,4.69037151392253,4.67269439054083,4.65162110793197,4.55756259288187,4.51474812106216,4.45954666857086,4.34587194956807,4.25911345326816,4.11773209382358,3.94984172948313,3.81113687913588,3.62370391786691,3.42734557748988,3.27102513600831,3.0817922769004,2.91058159485037,2.77346209236283,2.64615563566421,2.53703581563682,2.46732511889151,2.39394742018841,2.35756152060785,2.32058016342184,2.28359880623584,2.26510812764284,2.26348819353596,2.24485866107888,2.22622912862179,2.2320499609223,2.21329323856161,2.20391487738126,2.19453651620092,2.18515815502057,2.17577979384023,2.16640143265988,2.14764471029919,2.1288879879385,2.1101312655778,2.09438544756278,2.06608294151463,2.02834626678377,1.99060959205291,1.94343874863933,1.90570207390847,1.86796539917761,1.83022872444675,1.80192621839861,1.76418954366774,1.74532120630231,1.72645286893688,1.70758453157145,1.68871619420602,1.66984785684059,1.66971699398133,1.65074293723154,1.64125590885664,1.62228185210686,1.61279482373196,1.55390718859127,1.61525283268021,1.76175996642022,1.98097126606826
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.07009551556262,3.06061419935953,3.05113288315644,3.04165156695334,3.03217025075025,3.02268893454716,3.01320761834407,3.00372630214098,2.99424498593789,2.9847636697348,2.97528235353171,2.96580103732862,2.95631972112553,2.94683840492244,2.93735708871934,2.92787577251625,2.91839445631316,2.90891314011007,2.89943182390698,2.88995050770389,2.8804691915008,2.87098787529771,2.86150655909462,2.85202524289153,2.84254392668843,2.83306261048534,2.81312918195797,2.79319575343059,2.77326232490322,2.75332889637584,2.73339546784847,2.71346203932109,2.69352861079372,2.67359518226634,2.65366175373897,2.63372832521159,2.61379489668422,2.59386146815684,2.57392803962947,2.5539946111021,2.53406118257472,2.51412775404735,2.49419432551997,2.4742608969926,2.45432746846522,2.43439403993785,2.41446061141047,2.3945271828831,2.37459375435572,2.35466032582835,2.33472689730097,2.36636276311806,2.22083778035946,2.37268993628148,2.29676385832047,2.51188774587666,2.44861601424248,2.65741272863525,2.69537576761576,2.71435728710601,2.69537576761576,2.6763942481255,2.73966597975968,2.638431209145,2.71435728710601,2.66373990179867,2.51821491904007,2.55617795802058,2.56250513118399,2.44861601424248,2.44861601424248,2.48402540341522,2.42519322280802,2.5225708080308,2.48210175763458,2.49538401534282,2.49538401534282,2.50428257297294,2.53290294523549,2.63390319377507,2.59711683632011,2.66777240611797,2.60731297481784,2.69890538614011,2.76094918812034,2.83864545392175,2.88335943852737,2.89964960484673,2.95945943775678,2.89276739408902,2.98396954878313,2.94134141237194,2.93605414330658,2.85764320179394,2.74015646254967,2.70457001498409,2.57826514443845,2.56010834764663,2.51807412954819,2.52733175502447,2.57555256563107,2.56611830714891,2.56536339667672,2.47414254147696,2.58171395632378,2.60632700328237,2.48695324740684,2.52833094568338,2.52833094568338,2.56896940925873,2.56896940925873,2.73342282216934,2.73342282216934,2.77436398135262,2.77436398135262,2.81445470725998,2.46164557016756,2.49594687722815,2.49594687722815,2.52947510923955,2.56217803340608,2.60307273165914,2.65587043405086,2.54843513234559,2.54129006117166,2.52247835816164,2.43526046238791,2.39421674672969,2.36685426962421,2.25312897415455,2.25688038266302,2.06275893944287,1.93250645690819,1.91395015348109,1.84240486876055,1.8494002360838,1.90448875375438,1.95106276033529,1.9484118598457,1.96343362928669,1.99347716816867,2.08890958579376,2.09862955425558,2.27005445258214,2.36991628311346,2.46543382152032,2.69071103474403,2.79710472003543,2.71435552318133,2.71526485501489,2.78892073353338,2.78164607886488,2.8925845625594,2.92868739948721,2.92685295701963,3.00389954065788,3.05434670851625,3.13781384079102,3.16283057333312,3.15524104423301,3.19056659122262,3.28024638239869,3.17207591262962,3.09071692682041,2.91598001411653,2.74863937284986,2.66728038704065,2.63214809771394,2.6682049209703,2.66912945489995,2.64324250486974,2.72275242281966,2.55504037648936,2.32030826753007,2.16195724164484,2.01447198153828,1.93194240315124,1.8822370888954,1.8387194762612,1.79909596779379,1.79399706569244,1.83573999054197,1.83004777351703,1.83418247291386,1.75410382025026,1.8243555564921,1.78079670447146,1.75887040671833,1.74552396460773,1.75219718566303,1.82136088015658,1.77773957596768,1.81523651672633,1.78735417616221,1.77100935583151,1.75178015544246,1.73283288420875,1.71546596220666,1.7000286982048,1.6988399676195,1.69980796760105,1.67367196809921,1.69980796760105,1.69711255277934,1.71167587560068,1.73886074486716,1.76901432084634,1.76901432084634,1.78167100008189,1.88876597822889,1.89850188533316,1.93271749551006,1.96674669306691,2.01457384479814,2.07066010151755
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.40810321891254,2.38864881263836,2.36919440683635,2.34974000056217,2.33028559476016,2.31083118848598,2.29137678268397,2.27192237640979,2.25246797060778,2.2330135643336,2.21355915853159,2.19410475225741,2.31775469657407,2.35724007801131,2.34059070358897,2.34872064945273,2.39907440499451,2.3048377576467,2.24849694914805,2.25061770583721,2.25608382032361,2.21756124020556,2.22422791412213,2.20081532490668,2.3048954292646,2.26148576226642,2.26806688454303,2.25759079435041,2.29914942378432,2.30311072841721,2.19929675431103,2.32255593028848,2.30162058818582,2.32813760070023,2.38054696942763,2.41803231104919,2.48146091928079,2.44328686988909,2.517217428811,2.51728327337462,2.56684214976314,2.5736715825257,2.51519971459666,2.32805735031568,2.4122430309646,2.30795669425202,2.37805465985073,2.36658816455161,2.33039185263624,2.36243463003728,2.29387588788768,2.22548818968469,2.27750736637836,2.16748767334452,2.12657041759751,2.03980598439176,1.99294849633817,1.94200835219864,1.85172312553711,1.79504565985462,2.20891070175099,2.30116926514623,2.28992852434366,2.2624137504396,2.18322213058114,2.11584191474416,2.00877358557041,1.86753688531213,1.86079495781274,1.78068430317606,1.80733663284129,1.70549195325603,1.66009168911457,1.55946114124691,1.47967695803628,1.45258657145379,1.44621719183521,1.23483197982347,1.55964488860043,2.32605187900589,2.19312032963786,2.06018878026983,1.95314621442659,1.81842898609659,1.68371175776659,1.56902107583174,1.57119099859618,1.57336092136063,1.61421513374154,1.61643833500636,1.65527879286365,1.69725099680314,1.81631464848748,1.89932067419231,1.97964908616473,2.07885812362842,2.15725459383028,2.21170894297394,2.30413533685214,2.36811406540767,2.44610263228066,2.51135173811336,2.53978559636081,2.55079225116628,2.54162003882839,2.47649733122939,2.43962503763109,2.40238585553927,2.37000794598653,2.27993682082848,2.10098695811632,2.01651088248438,1.92672870939089,1.79045240816046,1.76216166991316,1.68782914196929,1.57158735807978,1.51821374759023,1.49352961708459,1.49838076578385,1.5485549980987,1.56937495991907,1.55755822483183,1.46227407523952,1.43635218194339,1.39097383057953,1.36748275055957,1.35835272271731,1.37305761669839,1.37840147483688,1.38965061890153,1.43703048839416,1.43483785861884,1.43111992117375,1.40298413539295,1.36276480996363,1.38402359626199,1.33825620107594,1.31662335063826,1.28787569605663,1.31095073652349,1.28245070695449,1.344778660362,1.32924491346013,1.36918883406494,1.36168557404578,1.36042717406977,1.33487197455686,1.34468014050308,1.33011681768175,1.32040793580086,1.3532910874939,1.50322471873004,1.72599476647532,1.98871708808917
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4579523802931,4.41843152585788,4.41813260313461,4.362003876779,4.39839498560401,4.38213474536148,4.39026486548274,4.47395760363868,4.51515426665561,4.61525880284548,4.64864222999083,4.67367980034985,4.72339270219226,4.68959382775797,4.67727343021836,4.5746641410728,4.45495330373632,4.37636503689167,4.23798195272118,4.15349934817874,4.03108042002189,3.91740570101911,3.80373098201632,3.72893335535096,3.60522466583695,3.4539626158539,3.33154368769705,3.21786896869427,3.09545004053742,2.98177532153463,2.87684481168591,2.78065851099124,2.7019606286047,2.64949537368033,2.60577432791003,2.60671881475956,2.60671881475956,2.60671881475956,2.61555514972485,2.59703011875597,2.59703011875597,2.57079749129379,2.49089551506878,2.42170397298353,2.32656560261632,2.23851754343949,2.1248428244367,2.03235704201593,1.93515735739777,1.8556303427102,1.8207773380415,1.79400120071736,1.8022177057897,1.81122879431865,1.84594362213002,1.87322357713686,1.90050353214371,1.94450901563197,1.96285344030774,1.98119786498352,1.9969932880443,1.99335997290821,2.00947792941834,2.0301183311945,2.04985188917733
