Male 15+ labour to population (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,86.6999969482422,86.6999969482422,86.8000030517578,86.8000030517578,86.9000015258789,86.9000015258789,86.9000015258789,87,87,87.0999984741211,87.0999984741211,87.1999969482422,87.1999969482422,87.3000030517578,87.3000030517578,87.4000015258789,87.4000015258789,87.4000015258789,87.5,87.5,87.5,87.5,87.5999984741211,87.5999984741211,87.5999984741211,87.5999984741211,87.5999984741211,88.5999984741211
Albania,83.6999969482422,83.4000015258789,83.3000030517578,83.0999984741211,82.8000030517578,83,82.8000030517578,83.4000015258789,83.9000015258789,83.3000030517578,84.3000030517578,72.9000015258789,72.5999984741211,73,73.3000030517578,73.4000015258789,73.4000015258789,72.9000015258789,72.8000030517578,72.5999984741211,72.4000015258789,72.0999984741211,71.9000015258789,71.8000030517578,71.5999984741211,71.3000030517578,71.0999984741211,71
Algeria,70.9000015258789,71,70.8000030517578,70.6999969482422,70.5,70.5999984741211,71.5,72.4000015258789,73.3000030517578,74.0999984741211,75,75.8000030517578,76.5,77.3000030517578,78,78.5999984741211,79.0999984741211,79.3000030517578,79,78.8000030517578,78.8000030517578,79.0999984741211,78.9000015258789,78.5,78.4000015258789,78.1999969482422,78.1999969482422,77.5
Angola,90.8000030517578,90.8000030517578,90.6999969482422,90.5999984741211,90.5999984741211,90.5,90.5999984741211,90.5,90,90.0999984741211,90.0999984741211,90.4000015258789,89.5999984741211,91,90,91.4000015258789,91.3000030517578,91.3000030517578,90.9000015258789,90.5999984741211,90.8000030517578,90.6999969482422,90.4000015258789,90.4000015258789,90.0999984741211,89.6999969482422,89,89.1999969482422
Argentina,76.5999984741211,77.8000030517578,79,80,79.8000030517578,79.5,79.5,79.4000015258789,79.0999984741211,78.5999984741211,78.5,75.8000030517578,75.8000030517578,75.9000015258789,76,76.0999984741211,76.0999984741211,76,76,76.0999984741211,76.0999984741211,76.0999984741211,76.0999984741211,76,76,75.9000015258789,75.9000015258789,75.6999969482422
Armenia,81,80.6999969482422,80.6999969482422,80.5,80.1999969482422,79.8000030517578,80.1999969482422,80.1999969482422,79.4000015258789,79.3000030517578,79.1999969482422,71.5,69.6999969482422,68.0999984741211,67.5,67.5999984741211,67.3000030517578,66.8000030517578,66.8000030517578,66.5999984741211,66.5,66.5,66.5999984741211,66.6999969482422,66.6999969482422,66.5999984741211,66.5,67.5
Australia,78.5,78.1999969482422,77.5999984741211,76.8000030517578,76.4000015258789,76,76.1999969482422,75.6999969482422,75.5,75.6999969482422,75.8000030517578,74.9000015258789,74.3000030517578,73.8000030517578,73.8000030517578,74.0999984741211,73.8000030517578,73.1999969482422,72.9000015258789,72.5,72.4000015258789,72.0999984741211,72,71.6999969482422,71.6999969482422,72.1999969482422,72.3000030517578,71.5
Austria,71.9000015258789,71.8000030517578,71.5,70.8000030517578,70.9000015258789,70.6999969482422,70.6999969482422,70.6999969482422,69.9000015258789,69.6999969482422,69.8000030517578,70,70.0999984741211,69.9000015258789,70,70.3000030517578,69.5,69.1999969482422,68.9000015258789,68.8000030517578,68.5,68.1999969482422,68.3000030517578,68.4000015258789,67.3000030517578,67.5999984741211,68.0999984741211,67.5
Azerbaijan,77.0999984741211,76.9000015258789,77.1999969482422,77.1999969482422,77.0999984741211,76.9000015258789,77.5999984741211,77.9000015258789,77.0999984741211,77.5,77.9000015258789,71.6999969482422,71.6999969482422,71.5,70.5,69.5,69.5999984741211,69.6999969482422,70.0999984741211,70.3000030517578,70.6999969482422,70.8000030517578,70.8000030517578,70.6999969482422,70.6999969482422,70.1999969482422,69.1999969482422,70.9000015258789
Bahamas,78.5,78.4000015258789,78.5,78.5999984741211,78.8000030517578,78.9000015258789,78.9000015258789,78.9000015258789,78.9000015258789,78.9000015258789,78.9000015258789,79.5,80.1999969482422,80.5999984741211,81.0999984741211,80.9000015258789,80.4000015258789,79.6999969482422,78.9000015258789,78.5999984741211,78.3000030517578,78.5999984741211,78.6999969482422,78.5999984741211,78.5999984741211,78.4000015258789,78.1999969482422,77.9000015258789
Bahrain,85.4000015258789,87,87.5999984741211,88.0999984741211,88.5,88.6999969482422,88.8000030517578,88.8000030517578,88.6999969482422,88.5999984741211,88.4000015258789,88.1999969482422,88,87.5999984741211,87.4000015258789,87.1999969482422,87,86.6999969482422,86.5,86.3000030517578,86.0999984741211,85.9000015258789,85.6999969482422,85.5999984741211,85.5,85.3000030517578,84.9000015258789,84.4000015258789
Bangladesh,89.5999984741211,89.5999984741211,89.5999984741211,89.5999984741211,89.5,89.5,89.4000015258789,89.4000015258789,89.3000030517578,89.1999969482422,89.0999984741211,89,89,88.9000015258789,88.8000030517578,88.5999984741211,88.4000015258789,88.0999984741211,87.6999969482422,87.3000030517578,86.8000030517578,86.6999969482422,86.5,86.3000030517578,86.0999984741211,85.9000015258789,85.6999969482422,84.5
