High-technology exports (% of manufactured exports),1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,0.179503227852738,0.339874041348881,0.761716062589341,1.74455386513131,0.697374879419064,0.724100711307848,0.699557264166718,0.959974650011442,0.991776724901072,4.22269969691477,6.1674149347664,1.31430513179235,3.46961564193234,0.764653339194069,0.893509248780069,
Algeria,,,,,1.26702112316594,1.62105004254718,0.816186620836953,0.482299465028591,0.367838705149729,1.1709368512735,0.892256190246932,4.44239654128505,4.16683343230625,0.615530031793836,1.05863088716642,2.28679011860615,1.04603270347987,1.4846161183203,1.62156078886042,0.716136565964244,0.656696365435629,0.625863297717341,0.504620348567318,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,9.16474759828771,13.5607245482879,19.801225602101,12.8138865020649,9.70343223954206,10.9219683281084,21.7966184565402,16.9856774992247,20.476748005875,26.6974231535714,26.4016186858457,16.33052379442,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,0.792111500420359,0.092391157559793,,,,,0.780367566211611,,0.056512531232764,,,,
Argentina,,,,,7.95319101738916,6.47917455111123,4.75737050523623,4.02028497993517,5.59195717999793,5.07483159624345,5.90945120886604,8.10406311778607,9.35185630557545,9.26734447550764,7.66904536724454,8.89749476292353,7.71902367797146,6.82663003884754,7.05418221980282,6.59445029079414,9.01736918631716,8.68693306584071,7.45159537699651,
Armenia,,,,,,,,,,5.5016075905402,,2.28304231745568,4.72662731922515,10.398726594463,1.62244817132918,1.40902707955636,1.24611704633639,0.619179418428506,1.08039524420016,0.875873520221703,1.40588202628169,2.18189877411748,1.84865937230269,
Aruba,,,,,,,,,,,,,,,,,,6.4143755825367,,,,3.03280304476126,3.29245155182017,
Australia,7.07411970284427,7.30144857235716,8.06952862373484,9.7779409316844,10.4348473366627,11.4808046941373,14.0804552765808,12.8551211595748,12.070113739708,11.7296786982407,11.4615024096882,11.0908318172997,15.3599446595172,15.52538697837,16.5196708720571,13.6908238167114,13.5359212538267,12.7919122151774,12.3426250169367,10.2722504248578,10.7883672863433,11.9257581092085,11.8765932136317,
Austria,8.00691180738935,7.10648589297125,7.87295921736671,8.60114522045768,8.41816757628362,8.77909237060096,10.0952262927417,8.84595044889681,8.87368479461438,10.8995366185691,10.9563401849171,12.2696648321192,14.5978166979755,14.6098513630283,16.3508087561828,15.5315528530517,16.1649776912336,13.7429326784987,13.3361601399969,11.3098105841216,10.9961556803672,11.6361692774664,11.9055753937815,
Azerbaijan,,,,,,,,,2.22708864848779,4.43397523375405,13.6932366431676,8.53754367245198,4.58982266299761,8.84982807756758,7.89581831239769,5.14831695051186,2.17736233546907,1.05641286442648,1.75004117746443,3.3997331255178,0.923285802067101,0.983053092222548,1.08392898832668,
Bahamas,,,,,,,,,,0,26.9817505440541,2.45383297295249,6.80828549717642,0.684347397416772,3.08995419789726,0,0,0.000416074822098,0.389315819147602,0.000132022163141,0,0.000032712887931,,
Bahrain,,,,,,,1.10910871714633,2.63250477805783,4.39847891553222,,,,0.03605719556676,0.008796294135854,0.007207360663655,0.115940632718492,0.070899213964991,0.06655984693693,0.055502632372893,0.045860411552297,,0.027504416543556,0.110260452133423,
Bangladesh,,0.407667872408191,0.48396840627156,0.252819590297228,0.187750145512979,0.018236716178816,0.064091518709029,0.032008655787439,0.062837154416313,0.007480761161979,0.076074416006538,,0.213022146744978,0.182700196502834,0.135246923583793,0.251442820967548,0.210449868077282,0.324630911049069,0.219801354081806,1.15229815704176,,,,
Barbados,,,,,20.4144556305211,19.3760835856973,20.0039783625879,18.4348343513915,15.3343587040207,17.7863178209008,20.9674254074405,25.2392586254559,22.7147218972059,21.3794534184547,15.9346116040051,15.6287100852713,15.9335650806201,20.3482820214035,18.0637186742578,9.99249660513948,4.27312534930853,9.79947591608327,12.1308650944869,
Belarus,,,,,,,,,,,3.75090564971456,3.53959353048774,3.82905452213108,4.08289221653891,4.29201561989613,3.7600127079341,2.84903745295888,2.69663306750573,2.79162435698438,2.76756661974708,2.4314215019929,3.1346664683315,3.03926620871797,
Belgium,,,,,,,,,,,,9.18453920129709,10.2372168886106,10.9155247360663,8.87881655116123,8.9447105734222,8.43571839923285,9.01543540550614,8.35181485729717,7.40571574899076,7.98167503955982,10.3636953340019,10.4687539249357,
