Billionaires per million inhabitants,2004,2005,2006,2007
Abkhazia,0,0,0,0
Afghanistan,0,0,0,0
Akrotiri and Dhekelia,0,0,0,0
Albania,0,0,0,0
Algeria,0,0,0,0
American Samoa,0,0,0,0
Andorra,0,0,0,0
Angola,0,0,0,0
Anguilla,0,0,0,0
Antigua and Barbuda,0,0,0,0
Argentina,0.025546207942607,0.025292160495046,0.025048950031929,0.02481270932777
Armenia,0,0,0,0
Aruba,0,0,0,0
Australia,0.25109043554348,0.29864955152543,0.34543879165116,0.58725147517571
Austria,0.36698316109998,0.4887172893882,0.36617160265987,0.36586334052987
Azerbaijan,0,0,0,0
Bahamas,0,0,0,0
Bahrain,0,0,0,0
Bangladesh,0,0,0,0
Barbados,0,0,0,0
Belarus,0,0,0,0
Belgium,0.096634453893576,0.096484230424411,0.19269554768266,0.1924515498412
Belize,0,0,0,0
Benin,0,0,0,0
Bermuda,0,0,0,0
Bhutan,0,0,0,0
Bolivia,0,0,0,0
Bosnia and Herzegovina,0,0,0,0
Botswana,0,0,0,0
Brazil,0.032590786837683,0.042984685942655,0.085070984851426,0.1052572596103
British Virgin Islands,0,0,0,0
Brunei,0,0,0,0
Bulgaria,0,0,0,0
Burkina Faso,0,0,0,0
Burundi,0,0,0,0
Cambodia,0,0,0,0
Cameroon,0,0,0,0
Canada,0.52295022430566,0.5182130392704,0.6646740142552,0.6888260819264
Cape Verde,0,0,0,0
Cayman Islands,0,0,0,0
Central African Rep.,0,0,0,0
Chad,0,0,0,0
Channel Islands,0,0,0,0
Chile,0.18958595501745,0.18772395467793,0.12396013714702,0.18422153597653
China,0.000771763353419,0.001534704737097,0.006103032274268,0.015166646225061
Christmas Island,0,0,0,0
Cocos Island,0,0,0,0
Colombia,0.047269283060875,0.046561135387699,0.045878888680267,0.045220682583593
Comoros,0,0,0,0
"Congo, Dem. Rep.",0,0,0,0
"Congo, Rep.",0,0,0,0
Cook Islands,0,0,0,0
Costa Rica,0,0,0,0
Cote d'Ivoire,0,0,0,0
Croatia,0,0,0,0
Cuba,0,0,0,0
Cyprus,0,0,0,2.53659996677054
Czech Rep.,0,0,0.097699613744577,0.097763713707177
Czechoslovakia,0,0,0,0
Denmark,0.55418118621375,0.55224871072936,0.36692797442365,0.36575642085397
Djibouti,0,0,0,0
Dominica,0,0,0,0
Dominican Rep.,0,0,0,0
East Germany,0,0,0,0
Ecuador,0,0,0,0
Egypt,0,0.012902267542555,0.025352717463346,0.049835205565177
El Salvador,0,0,0,0
Equatorial Guinea,0,0,0,0
Eritrea,0,0,0,0
Eritrea and Ethiopia,0,0,0,0
Estonia,0,0,0,0
Ethiopia,0,0,0,0
Faeroe Islands,0,0,0,0
Falkland Islands (Malvinas),0,0,0,0
Fiji,0,0,0,0
Finland,0,0,0,0
France,0.19859588407051,0.23080913538601,0.22997517450845,0.24556382403512
French Guiana,0,0,0,0
French Polynesia,0,0,0,0
Gabon,0,0,0,0
Gambia,0,0,0,0
Georgia,0,0,0,0
Germany,0.63087954715078,0.69148415427667,0.66729514545572,0.667467660221
Ghana,0,0,0,0
Gibraltar,0,0,0,0
Greece,0.093918504471789,0.093735172267437,0.093562366521589,0.093403036906342
Greenland,0,0,0,0
Grenada,0,0,0,0
Guadeloupe,0,0,0,0
Guam,0,0,0,0
Guatemala,0,0,0,0
Guernsey,0,0,0,0
Guinea,0,0,0,0
Guinea-Bissau,0,0,0,0
Guyana,0,0,0,0
Haiti,0,0,0,0
Holy See,0,0,0,0
Honduras,0,0,0,0
"Hong Kong, China",2.04226764646888,2.17432711098896,2.44941525253759,3.00841841427125
Hungary,0,0,0,0
Iceland,0,3.36998756474589,3.34014723369006,6.62402999360781
India,0.008450144000641,0.011108391735672,0.020997816322962,0.032420856405009
Indonesia,0.004630337042233,0.009154784519259,0.009050142313488,0.008946664459823
Iran,0,0,0,0
Iraq,0,0,0,0
Ireland,0.50383443194431,0.74707222395432,0.98467961602418,0.97345249040784
Isle of Man,0,0,0,0
Israel,0.80658066580976,0.95588845610154,1.25942264602494,1.4004122502462
Italy,0.2411403444211,0.17210805501324,0.24082496035118,0.22356847514588
Jamaica,0,0,0,0
Japan,0.17277531868761,0.18835755072524,0.21182516161416,0.18828259070443
Jersey,0,0,0,0
Jordan,0,0,0,0
Kazakhstan,0,0.1975524047264,0.13129179838516,0.32711960912609
Kenya,0,0,0,0
Kiribati,0,0,0,0
"Korea, Dem. Rep.",0,0,0,0
"Korea, Rep.",0.041299850855914,0.061676780733555,0.081888641969612,0.2038952557448
"Korea, United",0,0,0,0
Kosovo,0,0,0,0
Kuwait,0.88591654046047,0.85629341407609,1.24049317046485,1.59645013348319
Kyrgyzstan,0,0,0,0
Laos,0,0,0,0
Latvia,0,0,0,0
