Merchandise trade (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,25.4752049946316,27.6923074052943,31.8292676302201,25.961535708694,23.4999986631112,19.3708614744968,13.9285717681633,11.4741030005238,13.5436889837685,14.7634065823881,11.4358472657369,13.161423141577,17.9247919810927,18.1730776388166,21.9432995481943,23.9577469971704,21.599999903833,21.4672680027516,21.6969689863026,24.3108302485484,41.4913439176239,45.4181180617757,,,,,,,,,,,,,,,,,,,,71.6587780157777,58.8166480556069,47.1032322906304,43.5117781049084,41.8905829280648,38.7208813445742,34.1595996536082,29.81438618321,26.311824267098,28.0111840074906,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0251596555077,44.7695679106349,42.2861247617993,56.5488460230054,37.7554607542818,37.7603792697878,38.1001326876991,35.7513669970212,38.4749976877015,43.8332437861217,36.5624679347233,39.9438257547862,41.4276306182842,40.9049367582671,39.0437499189408,39.1094891543494,42.2225423669667,49.1850239680785,50.9338150439338,46.8300979198426,52.1872073874286,
Algeria,60.8844578873928,57.1436641130883,29.2167095487784,53.3387665984452,49.1659944728183,41.7268601724115,41.5979125483771,40.4153471842716,42.6957733393856,45.6410938321589,46.5822102624787,41.0383052887021,41.3825548431786,47.3104967299602,66.0267145208637,65.5467473383715,58.326527521349,62.3185755108654,56.4151593877324,54.006474895331,57.6900238744158,57.9476218349075,52.9209016695358,47.0929380691155,42.9864790107489,39.1488345939994,26.7833453497402,22.8745594182329,26.2315876286365,34.2252213340274,36.6024079203497,44.4926964952795,40.9971837933771,38.0707687060866,42.8982039748306,48.7452678399172,47.5272450913812,46.872150638696,40.6928892525303,44.5861974855246,56.9482869589098,52.6866223159454,53.9292921105723,52.255407848799,58.1935118506882,64.8426651447406,64.9222848264794,64.6479093595648,69.4645928733134,61.170019294399,60.0475018192049,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,53.5839359656114,38.0436969438212,47.0126345307163,48.7509202507845,46.8918927952873,53.4882707087303,39.0117996250006,99.3702749817555,98.8534877824981,110.159256490742,101.398248581169,94.7990515839151,99.0695928248423,87.227809850773,134.308659949916,120.065543314268,108.69488328392,105.740697775035,107.392604375183,97.6322944439165,105.972882110182,89.9842441569437,96.0391542635325,100.852340432539,84.0979327059295,88.3007280290639,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,116.411895219019,92.1775287171227,122.505523143248,107.207754770401,121.321239878482,115.982492300641,84.164993520238,86.4497966087257,90.655559184124,92.3153408278414,92.8530812281985,78.8316871589924,55.7037860924635,70.4854160985875,84.0666013355818,88.9648316648688,84.3305100272676,77.1862793581819,80.7389637404883,74.4814828848948,70.3628028852232,67.8991722001422,69.3409103155137,57.1943587213976,53.7798871553543,53.3282598976169,53.9362504816608,55.3088538356724,57.5635760633386,60.0545335605356,61.0260982817123,59.6057979276939,52.7329767902385,52.0088738284065,
Argentina,,,10.5212121044739,12.8381355286096,9.7151953605735,9.49736435113809,9.4916344418845,10.5537992563715,9.59682906405751,10.2001886866522,10.9776371167136,10.8385499084628,11.0727548458186,10.4588535089385,10.4444182604654,13.1731085253988,13.5805509431072,17.2827177798103,17.6182753580682,20.9523639411,24.1184199893942,23.6066921871369,15.3746725069663,11.8677688070133,16.0471345766615,13.8096132232416,10.4349917948954,10.9606853147716,11.4550072026123,17.9835044908018,11.6227270539489,10.6752061474549,11.8485327095539,12.6300105315227,14.4445331775578,15.924001443368,17.4804491313899,19.4018355907807,19.349495533801,17.2264670111761,18.1190434169918,17.4408533256375,33.9473603763577,33.4884028917518,37.2370488703395,37.6867816365231,37.6976786800014,38.5340720523056,39.0128865845628,30.7566282734181,33.8008708113388,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.382236128018,64.3593838882938,71.7609460355352,68.6187983103814,59.301067875764,55.9203448482698,61.5203156082188,57.4471764388922,62.8009085252927,70.0056035090054,57.9766024751023,56.6398494008309,49.7567706946243,48.0118050982646,47.0184497479925,46.6153199066351,51.1600068402277,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.1377333690871,54.555360144155,51.5121168526274,45.1112072128007,44.0685269807868,42.7570818944103,41.6491583654733,50.6796377148128,47.071659179666,54.2326398222516,52.1359202387176,50.7018414361379,,,,,,,,,
Australia,25.0798663209347,23.8099789043566,24.3619285833705,25.6786168410204,26.5398238197425,25.8199332934541,24.6211004552846,24.1106778527652,23.9114263207899,23.666051977726,23.5640897644563,22.8825159036795,21.878405588183,26.3165548571883,25.6232716718393,23.0760658336,23.9855966727314,24.1671149224946,25.1021932084309,27.1024854598465,29.3226271698447,26.7140457578398,24.5390466123195,23.2588629401754,25.1327344809017,26.6263710489187,26.5326442304026,29.3767129780861,29.0707738118847,27.1390487706353,26.0246413616863,25.3539277773409,26.3660446821459,28.0276823091489,30.9803923088028,30.843703106075,31.1501595954659,29.4315861417796,30.0395697283224,32.0863236073248,32.4785447191214,33.4543488043063,34.6779357283262,34.0430810147452,31.8356228911405,33.2214621099318,35.0344807060233,35.7846099766863,36.5048737215617,34.6032191223656,36.6017516800636,
Austria,38.4703136707579,36.751121616623,36.2984785387595,35.8391114073751,36.0851233907808,37.0273549419397,36.8419090443101,35.5653897172421,36.0490721914202,38.5620089882761,41.9710435440193,41.5025984504872,41.5522684667998,42.3254616100256,46.3256627515857,42.5298042868809,46.9644774654618,47.0284089192803,45.8023196115933,48.6774527498863,51.4720819220815,52.3175708444687,49.7209710576768,48.7434620545149,52.4720972610661,55.5748722923788,50.2741115429087,48.6596617116706,50.8874623049159,53.7363139006248,54.8454693820539,53.3937039232489,51.087922204976,47.6985733938486,49.820450440662,51.9676697660121,54.0007300396091,60.3980928008044,62.6211328201396,64.7105543302535,72.9442818164403,75.8476766091399,75.6355894321388,77.4486835479018,81.7625394439791,82.7943756446483,84.3082174394805,87.0990232101519,88.2678711872341,73.3552089783193,82.0604430267686,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2441936051653,42.686776860189,50.0826380350138,39.7202907911901,37.8058975791185,42.8924817487311,55.3235687617897,65.6140589334538,61.4638336118241,71.7164084746603,82.1541409880074,90.588424498295,87.1400966675513,82.6470428236456,78.1148054054593,62.3392885131244,64.166351379565,
Bahamas,42.4022630510927,48.9226041718082,36.7486279776136,,43.5004262363211,41.1062655498712,47.5588226400855,49.7288176630608,51.1033701329778,66.0583720451054,79.3563873964798,135.681897453784,140.125240284325,192.875251411549,530.044275774826,873.029184837303,952.655397110999,957.784011220196,745.795290725613,640.463203202628,636.710866752601,353.312310764805,319.394278514467,277.066020313943,186.860023526765,89.3695904595513,72.7199200513802,65.4384702933398,58.5187544367791,80.4049640757675,88.0606443461781,106.809035858008,39.562560308781,36.0931435963778,37.5268487266032,41.3823272090989,42.8373510667775,37.2295040695456,40.5900860816165,36.8606365611003,41.8803353966905,35.8312881877517,31.2446284821089,31.4707186332124,33.5757165532934,37.1206539339251,42.9535145428059,45.1761246188843,50.4214428265522,41.5794237445409,42.766660261038,
Bahrain,,,,,,,,,,,,,,,,,,,,,230.31873628794,244.274546573463,203.058644929188,175.122181414641,171.139528002097,164.409283379937,150.865207718857,151.649994576528,135.155806251372,154.391125063525,176.675547270378,165.243299802407,162.658301640454,145.838692222543,132.248391161045,133.824133166548,147.053481482262,132.45757820824,110.544390671739,121.745552675601,135.847696814436,124.644747185104,127.273193202259,126.07032013194,132.991860640042,145.87506496861,143.2686328217,135.992351814792,128.366606795055,94.0701341159151,,
