Female 15-64 labour to population (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,31.1000003814697,30.8999996185303,30.7000007629394,30.5,30.3999996185303,30.2000007629394,30,29.8999996185303,29.7999992370606,29.6000003814697,29.3999996185303,29.1000003814697,28.8999996185303,28.7000007629394,28.5,28.2999992370606,28.2000007629394,28.1000003814697,28,28,28,28.2000007629394,28.3999996185303,28.6000003814697,28.8999996185303,29.2000007629394,29.6000003814697,29.5
Albania,73.6999969482422,73.0999984741211,72.8000030517578,72.1999969482422,71.6999969482422,71.8000030517578,71.4000015258789,72.1999969482422,73,71.8000030517578,73.5999984741211,54.0999984741211,53.7999992370606,54.2999992370606,54.7999992370606,55.0999984741211,55.5,55,55.4000015258789,55.5999984741211,55.7000007629394,55.7000007629394,55.7000007629394,55.7000007629394,55.7000007629394,55.5999984741211,55.5999984741211,56.0999984741211
Algeria,19.7999992370605,19.8999996185303,20.1000003814697,20.1000003814697,20.2999992370605,20.3999996185303,21,21.7000007629395,22.3999996185303,23.1000003814697,23.7999992370605,24.6000003814697,25.3999996185303,26.2000007629395,27.1000003814697,27.8999996185303,28.7000007629394,29.5,30.3999996185303,31.2999992370606,32.0999984741211,33,33.7999992370606,34.7000007629394,35.5,36.2000007629394,36.9000015258789,38.0999984741211
Angola,74.3000030517578,74.3000030517578,74.5,74.5999984741211,74.8000030517578,74.9000015258789,75,75.1999969482422,76,75.9000015258789,76,75.6999969482422,76.6999969482422,75,76.3000030517578,74.4000015258789,74.5,74.4000015258789,74.6999969482422,75.0999984741211,74.6999969482422,74.5999984741211,75,74.9000015258789,75.1999969482422,75.5,76.1999969482422,76.4000015258789
Argentina,32.7999992370606,32.0999984741211,31.6000003814697,31.2999992370606,31.6000003814697,32.0999984741211,32.2000007629394,32.4000015258789,32.9000015258789,33.4000015258789,33.7000007629394,45.0999984741211,45.5999984741211,46,46.5,47.0999984741211,48,48.9000015258789,49.9000015258789,50.7999992370606,51.7000007629394,52.5999984741211,53.5,54.4000015258789,55.2999992370606,56.2000007629394,57.0999984741211,57.0999984741211
Armenia,76.6999969482422,75.6999969482422,75.0999984741211,74.1999969482422,73.3000030517578,72.5999984741211,73,73.1999969482422,72.4000015258789,72.8000030517578,73.0999984741211,62.7000007629394,61.5,60.5,60.5,61,61.2999992370606,61.4000015258789,61.9000015258789,62.2000007629394,62.5999984741211,63.0999984741211,63.7000007629394,64.1999969482422,64.5,64.5999984741211,64.4000015258789,65.1999969482422
Australia,52,52.0999984741211,52.0999984741211,52.2000007629394,53.0999984741211,54.4000015258789,56.9000015258789,57.7000007629394,58.9000015258789,60.5999984741211,61.9000015258789,61.7000007629394,61.7999992370606,61.7000007629394,62.7999992370606,64.1999969482422,64.3000030517578,64.0999984741211,64.3000030517578,64.4000015258789,65.5,66,66.3000030517578,67.0999984741211,66.9000015258789,68.3000030517578,69,69
Austria,49.7999992370606,50,49.9000015258789,49.7999992370606,51.4000015258789,50.7999992370606,51.4000015258789,52.7000007629394,53.4000015258789,54.0999984741211,55.2999992370606,56.0999984741211,57.7999992370606,58.5999984741211,61.2000007629394,61.5999984741211,61,61.2999992370606,61.2999992370606,61.5999984741211,61.7000007629394,62.2000007629394,63.7999992370606,64.5,64.5999984741211,65.5999984741211,66.6999969482422,67.3000030517578
Azerbaijan,71.6999969482422,70.9000015258789,70.8000030517578,70.4000015258789,69.9000015258789,69.5999984741211,70.3000030517578,70.6999969482422,70,70.5999984741211,71.3000030517578,62.4000015258789,62.2999992370606,62.2000007629394,61.5,61,61.4000015258789,61.9000015258789,62.7000007629394,63.2999992370606,64.1999969482422,64.8000030517578,65.1999969482422,65.5,65.8000030517578,65.6999969482422,65.0999984741211,66.5
Bahamas,61,61.7000007629394,62.5,63.2999992370606,64.1999969482422,65,65.6999969482422,66.3000030517578,67,67.5999984741211,68.3000030517578,68.3000030517578,67.9000015258789,68.3000030517578,68.0999984741211,68.4000015258789,69.3000030517578,69.6999969482422,70.3000030517578,70.5999984741211,71.4000015258789,70.9000015258789,71,71.6999969482422,71.9000015258789,72.5,72.9000015258789,73
Bahrain,18.1000003814697,19.3999996185303,20.3999996185303,21.5,22.6000003814697,23.7999992370605,25,26.1000003814697,27.2000007629395,28.2000007629394,29.2999992370606,30.2999992370606,30.7999992370606,31.2999992370606,31.7999992370606,32.4000015258789,33,33.5999984741211,34.2000007629394,34.9000015258789,35.5,36.0999984741211,35.7999992370606,35.5999984741211,35.2999992370606,35.2000007629394,34.7000007629394,35.2000007629394
Bangladesh,58.2000007629394,58.7999992370606,59.4000015258789,59.9000015258789,60.2999992370606,60.7999992370606,61.2000007629394,61.7000007629394,62.0999984741211,62.5,62.9000015258789,63.0999984741211,61.9000015258789,60.5999984741211,59.4000015258789,58.0999984741211,56.7999992370606,56.7999992370606,56.9000015258789,56.9000015258789,57,57.5,58,58.4000015258789,58.7999992370606,59.0999984741211,59.2999992370606,59.7000007629394
